outcome_variable,trait,interaction_p_value,interaction_coef,significant
belief_changes,openness,0.5408953166232913,0.048610003649902346,False
belief_changes,conscientiousness,0.47391675423442403,-0.05931077986068432,False
belief_changes,extraversion,0.36141963739787686,0.0641025071090521,False
belief_changes,agreeableness,0.8177695184267636,0.019590387618479733,False
belief_changes,neuroticism,0.01670587397435091,0.16708804573053573,True
total_infected_time,openness,0.5479277621106172,0.13918858545340207,False
total_infected_time,conscientiousness,0.7866776183251926,-0.06523134662087332,False
total_infected_time,extraversion,0.9578097979090855,-0.01080167380752628,False
total_infected_time,agreeableness,0.5188847552663618,0.15998132114704833,False
total_infected_time,neuroticism,0.021081787335723967,0.46871680906961755,True
resistance_index,openness,0.21113739053835703,-0.04291782084977963,False
resistance_index,conscientiousness,0.41047021416340135,0.029344353096346767,False
resistance_index,extraversion,0.7849189621986294,-0.00822977500174359,False
resistance_index,agreeableness,0.35318646688867794,-0.03404253240895951,False
resistance_index,neuroticism,0.07326824013884911,-0.053420008533553526,False
recovery_index,openness,0.848622769902635,-0.0033296587676953744,False
recovery_index,conscientiousness,0.9603038412554068,0.0009040890229265325,False
recovery_index,extraversion,0.30549355648772986,0.015817940602929605,False
recovery_index,agreeableness,0.5589942048878669,-0.010920995408625532,False
recovery_index,neuroticism,0.5359381261878151,0.009347490019673076,False
