outcome_variable,trait,interaction_p_value,interaction_coef,significant
belief_changes,openness,0.6635011145764962,0.04196053109196797,False
belief_changes,conscientiousness,0.3176184710820475,-0.10060340098555975,False
belief_changes,extraversion,0.53712859295392,0.05254607434259723,False
belief_changes,agreeableness,0.4742926693181213,0.07393624656387711,False
belief_changes,neuroticism,0.6429310260914644,0.03867195116450684,False
total_infected_time,openness,0.323914116234017,0.39151756700012896,False
total_infected_time,conscientiousness,0.05202072031578201,-0.8095587552485378,False
total_infected_time,extraversion,0.40604267778510883,0.2907372860518711,False
total_infected_time,agreeableness,0.6628018117141277,0.18484739909008902,False
total_infected_time,neuroticism,0.31957319609979684,0.34167893145268635,False
resistance_index,openness,0.17043258231579608,-0.04604439000981921,False
resistance_index,conscientiousness,0.05439964495178314,0.0676407658746834,False
resistance_index,extraversion,0.52430060365699,-0.018791406276727547,False
resistance_index,agreeableness,0.11534281643092402,-0.05671464843201735,False
resistance_index,neuroticism,0.17245716789218946,-0.039632459336870735,False
recovery_index,openness,0.9693042748457442,-0.0005846246597752115,False
recovery_index,conscientiousness,0.6187918595364195,-0.007877759611164435,False
recovery_index,extraversion,0.45322775167520035,0.010070523674419728,False
recovery_index,agreeableness,0.3947006603850238,-0.013870571589096934,False
recovery_index,neuroticism,0.11121757366885457,0.021080348440130934,False
